
***** UniversalIN-Sonda Accumulo *****
OUT		 --> 501
***** DigitalOUT-Valvola PT *****
Value		 --> 951
Manual		 --> 952
***** DigitalOUT-Pompa PT *****
Value		 --> 976
Manual		 --> 977
***** DigitalOUT-Valvola P2 *****
Value		 --> 1001
Manual		 --> 1002
***** DigitalOUT-Pompa P2 *****
Value		 --> 1026
Manual		 --> 1027
***** DigitalOUT-Pompa Ricircolo *****
Value		 --> 1051
Manual		 --> 1052
***** DigitalOUT-Serpentina *****
Value		 --> 1076
Manual		 --> 1077
***** DigitalOUT-Valvola Deviatrice su sanitario *****
Value		 --> 1101
Manual		 --> 1102
***** DigitalOUT-Valvola deviatrice su impianto *****
Value		 --> 1126
Manual		 --> 1127
***** ModbusStation-PdC - SCALA *****
N. Reg OK		 --> 1876
TOutScambiatore		 --> 1877
TINImpianto		 --> 1878
TEsterna		 --> 1879
SetFreddo		 --> 1880
SetCaldo		 --> 1881
SetACS		 --> 1882
ModbusPort		 --> 1883
SlaveRegister		 --> 1884
ScalingType		 --> 1885
DecimalNumber		 --> 1886
MinRawValue		 --> 1887
MinScaleValue		 --> 1888
MaxRawValue		 --> 1889
MaxScaleValue		 --> 1890
CommInterval		 --> 1891
WriteDelay		 --> 1892
ContinuosWrite		 --> 1893
WriteCoilFunc		 --> 1894
WriteHoldFunc		 --> 1895
MasterTimeout		 --> 1896
MaxNumErrors		 --> 1897
DisabelScaling		 --> 1898
***** UniversalIN-Chiamata PT *****
OUT		 --> 526
***** ModbusStation-PdC - NO SCALA *****
N. Reg OK		 --> 1926
Allarme(Bit3)		 --> 1927
ModbusPort		 --> 1928
SlaveRegister		 --> 1929
ScalingType		 --> 1930
DecimalNumber		 --> 1931
MinRawValue		 --> 1932
MinScaleValue		 --> 1933
MaxRawValue		 --> 1934
MaxScaleValue		 --> 1935
CommInterval		 --> 1936
WriteDelay		 --> 1937
ContinuosWrite		 --> 1938
WriteCoilFunc		 --> 1939
WriteHoldFunc		 --> 1940
MasterTimeout		 --> 1941
MaxNumErrors		 --> 1942
DisabelScaling		 --> 1943
***** ModbusStation-EXP2 *****
N. Reg OK		 --> 2976
Check		 --> 2977
ModbusPort		 --> 2978
SlaveRegister		 --> 2979
ScalingType		 --> 2980
DecimalNumber		 --> 2981
MinRawValue		 --> 2982
MinScaleValue		 --> 2983
MaxRawValue		 --> 2984
MaxScaleValue		 --> 2985
CommInterval		 --> 2986
WriteDelay		 --> 2987
ContinuosWrite		 --> 2988
WriteCoilFunc		 --> 2989
WriteHoldFunc		 --> 2990
MasterTimeout		 --> 2991
MaxNumErrors		 --> 2992
DisabelScaling		 --> 2993
***** UniversalIN-Chiamata P1 *****
OUT		 --> 551
***** UniversalIN-Chiamata P2 *****
OUT		 --> 576
***** UniversalIN-NC *****
OUT		 --> 601
***** UniversalIN-TInerziale *****
OUT		 --> 626
***** Monitor_4-Comment *****
Prog		 --> 651
On Ch1		 --> 652
Ch SP 1		 --> 653
Summer1		 --> 654
On Ch 2		 --> 655
Ch SP 2		 --> 656
Summer2		 --> 657
On Ch 3		 --> 658
Ch SP 3		 --> 659
Summer3		 --> 660
On Ch 4		 --> 661
Ch SP 4		 --> 662
Summer4		 --> 663
/Stagione		 --> 664
/Ricircolo		 --> 665
/Accumulo/DeltaMaxSerp		 --> 666
/Accumulo/UsaSoloSerp		 --> 667
/Accumulo/TMaxSovraprod		 --> 668
/Accumulo/Hysteresi		 --> 669
/Accumulo/Setpoint		 --> 670
/PdC/Stato		 --> 671
/PdC/SetFreddo		 --> 672
/PdC/Setcaldo		 --> 673
/PdC/ResetAllarmi		 --> 674
/PdC/TempoInvCom		 --> 675
/PdC/SetACS		 --> 676
/PdC/ForzaON		 --> 677
***** AnalogOUT-Comment *****
Value		 --> 901
Manual		 --> 902
